DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
BLAT_ECOLX_Deng_2012,0.282,0.573,0.62,0.659,0.679,0.663,0.738,0.661,0.892,0.316,0.503
BLAT_ECOLX_Firnberg_2014,0.189,0.374,0.355,0.452,0.53,0.496,0.623,0.476,0.885,0.199,0.387
BLAT_ECOLX_Jacquier_2013,0.307,0.395,0.376,0.503,0.538,0.526,0.55,0.475,0.941,0.355,0.456
BLAT_ECOLX_Stiffler_2015,0.157,0.335,0.334,0.462,0.514,0.491,0.597,0.47,0.887,0.16,0.303
BRCA1_HUMAN_Findlay_2018,0.394,0.673,0.77,0.832,0.7,0.738,0.688,0.692,0.949,0.609,0.558
BRCA2_HUMAN_Erwood_2022_HEK293T,0.498,0.421,1.014,0.822,0.924,0.922,0.822,0.827,0.916,1.117,0.623
C6KNH7_9INFA_Lee_2018,0.304,0.698,0.777,0.833,0.783,0.796,0.78,0.766,0.945,0.443,0.553
CALM1_HUMAN_Weile_2017,0.929,0.924,0.904,0.93,0.93,0.92,0.919,0.924,0.991,1.22,1.066
CAPSD_AAV2S_Sinai_2021,0.319,0.427,0.367,0.526,0.693,0.496,0.566,0.556,0.667,0.268,0.315
CAR11_HUMAN_Meitlis_2020_gof,0.597,0.72,0.992,0.933,0.878,0.927,0.927,0.929,0.907,0.689,0.669
CAR11_HUMAN_Meitlis_2020_lof,0.369,0.516,0.868,0.828,0.679,0.83,0.829,0.82,0.842,0.455,0.462
CAS9_STRP1_Spencer_2017_positive,0.953,1.001,0.972,0.995,1.015,0.981,0.99,0.987,1.0,0.972,0.976
CASP3_HUMAN_Roychowdhury_2020,0.463,0.589,0.526,0.606,0.623,0.563,0.872,0.611,0.945,0.599,1.172
CASP7_HUMAN_Roychowdhury_2020,0.549,0.665,0.606,0.643,0.652,0.627,0.737,0.665,0.945,0.702,0.667
CATR_CHLRE_Tsuboyama_2023_2AMI,0.163,0.142,0.155,0.666,0.704,0.765,0.642,0.642,0.79,0.119,0.114
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.092,0.137,0.105,0.585,0.563,0.528,0.518,0.537,0.743,0.085,0.14
CBS_HUMAN_Sun_2020,0.774,0.842,0.866,0.856,0.879,0.863,0.91,0.877,0.977,0.779,0.832
CBX4_HUMAN_Tsuboyama_2023_2K28,0.163,0.216,0.178,0.514,0.562,0.46,0.54,0.471,0.703,0.174,0.227
CCDB_ECOLI_Adkar_2012,0.0,0.157,0.034,0.462,0.623,0.539,0.531,0.47,0.601,0.002,0.146
CCDB_ECOLI_Tripathi_2016,0.357,0.39,0.37,0.644,0.722,0.658,0.594,0.603,0.862,0.4,0.417
CCR5_HUMAN_Gill_2023,0.697,0.816,0.844,0.892,0.858,0.845,0.823,0.859,0.966,0.708,0.717
CD19_HUMAN_Klesmith_2019_FMC_singles,0.482,0.785,0.948,0.911,0.945,0.903,0.923,0.909,0.927,0.552,0.671
CP2C9_HUMAN_Amorosi_2021_abundance,0.25,0.516,0.642,0.614,0.615,0.626,0.562,0.567,0.947,0.306,0.386
CP2C9_HUMAN_Amorosi_2021_activity,0.206,0.538,0.571,0.573,0.561,0.614,0.588,0.573,0.934,0.247,0.403
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.108,0.119,0.122,0.588,0.457,0.585,0.498,0.513,0.714,0.089,0.128
CUE1_YEAST_Tsuboyama_2023_2MYX,0.126,0.18,0.155,0.532,0.575,0.557,0.597,0.533,0.654,0.144,0.233
D7PM05_CLYGR_Somermeyer_2022,0.402,0.846,0.483,0.747,0.95,0.636,0.815,0.733,0.914,0.349,0.638
DLG4_HUMAN_Faure_2021,0.312,0.449,0.67,0.684,0.673,0.609,0.508,0.534,0.805,0.381,0.355
DLG4_RAT_McLaughlin_2012,0.349,0.513,0.743,0.667,0.599,0.658,0.639,0.624,0.801,0.344,0.329
DN7A_SACS2_Tsuboyama_2023_1JIC,0.126,0.215,0.171,0.772,0.774,0.716,0.785,0.783,0.758,0.157,0.245
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.108,0.118,0.108,0.516,0.55,0.613,0.413,0.468,0.673,0.093,0.099
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.198,0.237,0.212,0.67,0.527,0.536,0.578,0.592,0.726,0.188,0.256
DYR_ECOLI_Nguyen_2023,0.32,0.432,0.386,0.641,0.568,0.656,0.744,0.679,0.882,0.316,0.38
DYR_ECOLI_Thompson_2019,0.396,0.548,0.472,0.673,0.707,0.676,0.75,0.684,0.882,0.405,0.506
ENV_HV1B9_DuenasDecamp_2016,0.688,0.649,0.688,0.716,0.753,0.751,0.691,0.69,0.83,0.644,0.568
ENV_HV1BR_Haddox_2016,0.942,0.968,0.953,0.963,0.971,0.961,0.954,0.952,1.009,0.959,0.95
ENVZ_ECOLI_Ghose_2023,0.627,0.666,0.648,0.834,0.812,0.812,0.781,0.813,0.862,0.732,0.675
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.079,0.097,0.093,0.453,0.35,0.409,0.444,0.421,0.683,0.083,0.139
ERBB2_HUMAN_Elazar_2016,0.497,0.357,0.422,0.793,0.694,0.72,0.627,0.686,0.86,0.352,0.309
ESTA_BACSU_Nutschel_2020,0.445,0.659,0.556,0.76,0.828,0.762,0.848,0.79,0.865,0.569,0.636
F7YBW7_MESOW_Ding_2023,0.701,0.634,0.566,1.026,0.991,0.795,0.985,0.944,1.192,0.574,0.501
F7YBW8_MESOW_Aakre_2015,0.517,0.315,0.488,0.721,0.454,0.591,0.707,0.716,0.912,0.45,0.468
FECA_ECOLI_Tsuboyama_2023_2D1U,0.171,0.303,0.199,0.677,0.777,0.668,0.77,0.736,0.747,0.184,0.283
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.236,0.238,0.203,0.613,0.772,0.703,0.697,0.648,0.74,0.16,0.207
GAL4_YEAST_Kitzman_2015,0.492,0.567,0.6,0.667,0.66,0.613,0.669,0.701,0.763,0.642,0.597
GCN4_YEAST_Staller_2018,2.309,3.17,2.366,3.346,2.995,3.571,3.765,3.627,3.513,3.214,2.582
GDIA_HUMAN_Silverstein_2021,0.635,0.667,0.676,0.787,0.747,0.777,0.726,0.728,0.99,0.711,0.746
GFP_AEQVI_Sarkisyan_2016,0.568,0.721,0.768,0.889,1.017,0.893,0.875,0.831,1.0,0.761,0.637
GLPA_HUMAN_Elazar_2016,0.443,0.368,0.419,0.841,0.701,0.753,0.761,0.741,0.885,0.333,0.389
GRB2_HUMAN_Faure_2021,0.156,0.233,0.236,0.475,0.45,0.453,0.542,0.457,0.651,0.208,0.232
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.099,0.124,0.127,0.688,0.594,0.628,0.486,0.499,0.664,0.092,0.121
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.153,0.227,0.159,0.482,0.701,0.444,0.563,0.505,0.693,0.137,0.232
HEM3_HUMAN_Loggerenberg_2023,0.711,0.793,0.787,0.819,0.833,0.79,0.831,0.804,0.964,0.734,0.738
HIS7_YEAST_Pokusaeva_2019,1.26,1.357,1.605,1.253,1.197,1.22,1.176,1.241,1.291,1.648,1.662
HMDH_HUMAN_Jiang_2019,0.443,0.643,0.916,0.848,0.864,0.913,0.929,0.886,0.968,0.528,0.6
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.5,0.767,0.781,0.813,0.796,0.777,0.806,0.801,0.889,0.533,0.486
HSP82_YEAST_Flynn_2019,0.372,0.779,0.788,0.772,0.78,0.771,0.743,0.744,0.963,0.498,0.554
HSP82_YEAST_Mishra_2016,0.225,0.464,0.728,0.619,0.612,0.69,0.576,0.572,0.882,0.252,0.281
HXK4_HUMAN_Gersing_2022_activity,0.551,0.791,0.789,0.816,0.836,0.791,0.894,0.838,0.955,0.61,0.649
HXK4_HUMAN_Gersing_2023_abundance,0.472,0.77,0.795,0.835,0.858,0.796,0.93,0.878,0.959,0.507,0.584
I6TAH8_I68A0_Doud_2015,0.415,0.936,0.872,0.908,0.978,0.849,0.848,0.814,0.946,0.467,0.577
IF1_ECOLI_Kelsic_2016,0.272,0.296,0.278,0.544,0.555,0.675,0.529,0.553,0.779,0.234,0.25
ILF3_HUMAN_Tsuboyama_2023_2L33,0.224,0.17,0.148,0.609,0.626,0.583,0.609,0.598,0.794,0.118,0.161
ISDH_STAAW_Tsuboyama_2023_2LHR,0.199,0.228,0.253,0.794,0.733,0.756,0.786,0.785,0.734,0.235,0.292
KCNE1_HUMAN_Muhammad_2023_expression,0.335,0.327,0.53,0.885,0.858,0.886,0.851,0.855,0.853,0.3,0.305
KCNE1_HUMAN_Muhammad_2023_function,0.259,0.293,0.32,0.637,0.559,0.628,0.482,0.461,0.796,0.266,0.261
KCNH2_HUMAN_Kozek_2020,0.551,0.491,0.486,0.735,0.748,0.651,0.585,0.595,0.852,0.458,0.487
KCNJ2_MOUSE_Coyote-Maestas_2022_function,0.819,0.901,0.905,0.901,0.897,0.917,0.932,0.909,0.977,0.842,0.876
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.407,0.704,0.69,0.866,0.834,0.836,0.821,0.813,0.947,0.471,0.52
KKA2_KLEPN_Melnikov_2014,0.407,0.556,0.535,0.649,0.661,0.662,0.685,0.646,0.906,0.451,0.541
LGK_LIPST_Klesmith_2015,0.417,0.673,0.666,0.776,0.731,0.708,0.809,0.748,0.958,0.409,0.64
LYAM1_HUMAN_Elazar_2016,0.524,0.582,0.483,0.734,0.664,0.608,0.676,0.69,0.773,0.521,0.606
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.117,0.146,0.164,0.632,0.621,0.647,0.52,0.532,0.688,0.136,0.163
MBD11_ARATH_Tsuboyama_2023_6ACV,0.106,0.175,0.143,0.505,0.666,0.527,0.581,0.507,0.642,0.13,0.236
MET_HUMAN_Estevam_2023,0.392,0.506,0.53,0.607,0.591,0.555,0.627,0.591,0.923,0.407,0.456
MK01_HUMAN_Brenan_2016,0.698,0.909,0.895,0.956,0.984,0.988,0.99,0.972,0.974,0.745,0.857
MLAC_ECOLI_MacRae_2023,0.326,0.46,0.463,0.76,0.763,0.746,0.795,0.75,0.888,0.327,0.404
MSH2_HUMAN_Jia_2020,0.412,0.792,0.764,0.787,0.779,0.748,0.801,0.76,0.975,0.529,0.604
MTH3_HAEAE_RockahShmuel_2015,0.408,0.507,0.493,0.485,0.523,0.533,0.658,0.529,0.939,0.498,0.617
MTHR_HUMAN_Weile_2021,0.387,0.629,0.894,0.875,0.846,0.863,0.877,0.862,0.955,0.454,0.538
MYO3_YEAST_Tsuboyama_2023_2BTT,0.176,0.264,0.217,0.677,0.625,0.653,0.689,0.659,0.736,0.212,0.276
NCAP_I34A1_Doud_2015,0.575,0.95,0.877,0.869,0.99,0.852,0.818,0.809,0.967,0.631,0.663
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.186,0.201,0.188,0.486,0.544,0.467,0.464,0.452,0.7,0.173,0.219
NPC1_HUMAN_Erwood_2022_HEK293T,0.346,0.633,0.45,0.53,0.734,0.415,0.556,0.483,0.868,0.359,0.44
NPC1_HUMAN_Erwood_2022_RPE1,0.456,0.721,0.221,0.417,0.741,0.308,0.503,0.394,0.812,0.186,0.27
NRAM_I33A0_Jiang_2016,0.434,0.733,0.377,0.534,0.732,0.453,0.483,0.434,0.716,0.341,0.403
NUD15_HUMAN_Suiter_2020,0.257,0.358,0.321,0.565,0.532,0.467,0.564,0.524,0.833,0.26,0.336
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.082,0.115,0.111,0.599,0.6,0.566,0.528,0.509,0.689,0.077,0.124
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.077,0.122,0.096,0.484,0.623,0.493,0.517,0.501,0.662,0.079,0.12
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.099,0.126,0.128,0.411,0.416,0.44,0.453,0.413,0.695,0.101,0.176
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.204,0.334,0.211,0.583,0.72,0.549,0.592,0.564,0.7,0.203,0.298
OPSD_HUMAN_Wan_2019,0.441,0.569,0.428,0.603,0.623,0.562,0.661,0.63,0.846,0.421,0.624
OTC_HUMAN_Lo_2023,0.256,0.479,0.407,0.696,0.638,0.634,0.689,0.621,0.94,0.272,0.481
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.185,0.183,0.256,0.723,0.495,0.717,0.667,0.698,0.687,0.227,0.269
OXDA_RHOTO_Vanella_2023_activity,0.684,0.842,0.837,0.862,0.88,0.878,0.918,0.887,0.958,0.744,0.861
OXDA_RHOTO_Vanella_2023_expression,0.575,0.754,0.726,0.887,0.875,0.875,0.875,0.872,0.949,0.607,0.727
P53_HUMAN_Giacomelli_2018_Null_Etoposide,0.322,0.531,0.679,0.833,0.666,0.817,0.717,0.728,0.925,0.373,0.436
P53_HUMAN_Giacomelli_2018_Null_Nutlin,0.421,0.585,0.589,0.9,0.765,0.894,0.823,0.837,0.933,0.455,0.502
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.212,0.379,0.483,0.832,0.666,0.859,0.758,0.76,0.902,0.219,0.31
P53_HUMAN_Kotler_2018,0.347,0.553,0.603,0.656,0.64,0.634,0.641,0.626,0.886,0.472,0.508
P84126_THETH_Chan_2017,0.25,0.321,0.305,0.462,0.523,0.433,0.55,0.498,0.786,0.174,0.274
PA_I34A1_Wu_2015,0.899,1.049,1.473,0.865,1.038,0.985,0.851,0.831,1.021,0.981,0.884
PABP_YEAST_Melamed_2013,0.237,0.293,0.37,0.563,0.442,0.429,0.439,0.444,0.759,0.257,0.275
PAI1_HUMAN_Huttinger_2021,0.623,0.818,0.745,0.815,0.806,0.792,0.814,0.797,0.967,0.607,0.758
PHOT_CHLRE_Chen_2023,0.245,0.286,0.263,0.551,0.517,0.544,0.602,0.615,0.858,0.218,0.291
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.117,0.175,0.155,0.378,0.428,0.368,0.384,0.346,0.607,0.141,0.153
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.137,0.193,0.156,0.487,0.54,0.482,0.481,0.471,0.654,0.138,0.168
PKN1_HUMAN_Tsuboyama_2023_1URF,0.154,0.151,0.157,0.759,0.715,0.754,0.718,0.717,0.81,0.115,0.162
POLG_CXB3N_Mattenberger_2021,0.404,0.846,0.706,0.793,1.041,0.695,0.825,0.758,0.974,0.524,0.589
POLG_DEN26_Suphatrakul_2023,0.27,0.916,0.705,0.887,0.999,0.755,0.928,0.908,0.966,0.37,0.647
POLG_HCVJF_Qi_2014,0.501,0.39,0.373,0.695,0.569,0.563,0.644,0.665,0.847,0.315,0.344
POLG_PESV_Tsuboyama_2023_2MXD,0.115,0.157,0.118,0.699,0.752,0.543,0.715,0.689,0.681,0.094,0.185
PPARG_HUMAN_Majithia_2016,0.094,0.323,0.533,0.539,0.497,0.576,0.589,0.511,0.909,0.118,0.262
PPM1D_HUMAN_Miller_2022,0.541,0.654,0.739,0.735,0.651,0.738,0.734,0.694,0.95,0.56,0.623
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.178,0.233,0.158,0.567,0.73,0.466,0.572,0.524,0.709,0.141,0.215
PRKN_HUMAN_Clausen_2023,0.151,0.459,0.717,0.64,0.584,0.715,0.56,0.527,0.923,0.194,0.323
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.16,0.202,0.214,0.69,0.63,0.741,0.729,0.703,0.72,0.185,0.23
PTEN_HUMAN_Matreyek_2021,0.463,0.687,0.705,0.809,0.803,0.784,0.85,0.785,0.934,0.49,0.573
PTEN_HUMAN_Mighell_2018,0.371,0.602,0.657,0.647,0.7,0.741,0.756,0.632,0.939,0.371,0.468
Q2N0S5_9HIV1_Haddox_2018,0.293,0.742,0.72,0.818,0.719,0.711,0.724,0.716,0.951,0.598,0.564
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.371,0.574,0.591,0.793,0.809,0.803,0.82,0.794,0.874,0.388,0.476
Q53Z42_HUMAN_McShan_2019_expression,0.413,0.67,0.575,0.673,0.718,0.632,0.682,0.645,0.899,0.452,0.508
Q59976_STRSQ_Romero_2015,0.438,0.66,0.624,0.624,0.708,0.624,0.631,0.595,0.967,0.491,0.612
Q6WV13_9MAXI_Somermeyer_2022,0.356,0.858,0.647,0.881,0.927,0.797,0.891,0.86,0.89,0.372,0.611
Q837P4_ENTFA_Meier_2023,0.308,0.368,0.379,0.475,0.507,0.506,0.521,0.47,0.648,0.335,0.349
Q837P5_ENTFA_Meier_2023,0.293,0.406,0.461,0.572,0.639,0.623,0.537,0.566,0.709,0.28,0.324
Q8WTC7_9CNID_Somermeyer_2022,0.471,0.787,0.657,0.918,0.952,0.843,0.882,0.859,0.918,0.442,0.678
R1AB_SARS2_Flynn_2022,0.214,0.721,0.878,0.873,0.927,0.925,0.774,0.643,0.887,0.223,0.332
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.238,0.295,0.271,0.741,0.703,0.601,0.695,0.69,0.74,0.264,0.334
RAF1_HUMAN_Zinkus-Boltz_2019,0.722,0.836,0.747,0.823,0.768,0.768,0.743,0.747,0.949,0.928,1.037
RASH_HUMAN_Bandaru_2017,0.308,0.398,0.471,0.674,0.757,0.712,0.679,0.651,0.859,0.309,0.324
RASK_HUMAN_Weng_2022_abundance,0.377,0.459,0.523,0.876,0.905,0.873,0.809,0.852,0.886,0.371,0.346
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.217,0.294,0.372,0.626,0.674,0.547,0.649,0.631,0.843,0.181,0.191
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.158,0.181,0.183,0.708,0.659,0.763,0.692,0.701,0.735,0.175,0.218
RCD1_ARATH_Tsuboyama_2023_5OAO,0.178,0.23,0.229,0.762,0.832,0.77,0.799,0.766,0.786,0.212,0.273
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.105,0.124,0.13,0.546,0.598,0.529,0.545,0.511,0.694,0.108,0.138
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.116,0.088,0.115,0.513,0.459,0.469,0.485,0.479,0.679,0.095,0.127
RDRP_I33A0_Li_2023,0.514,0.982,0.735,0.809,0.995,0.719,0.776,0.698,0.977,0.547,0.672
REV_HV1H2_Fernandes_2016,0.585,0.635,0.615,0.867,0.857,0.851,0.862,0.865,0.883,0.705,0.657
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.252,0.289,0.251,0.766,0.799,0.784,0.824,0.802,0.797,0.24,0.321
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.151,0.147,0.151,0.659,0.625,0.685,0.615,0.631,0.76,0.132,0.152
RL40A_YEAST_Mavor_2016,0.449,0.497,0.474,0.72,0.775,0.711,0.715,0.712,0.784,0.48,0.537
RL40A_YEAST_Roscoe_2013,0.322,0.365,0.338,0.67,0.743,0.684,0.653,0.655,0.762,0.31,0.349
RL40A_YEAST_Roscoe_2014,0.284,0.376,0.348,0.695,0.755,0.703,0.672,0.695,0.758,0.311,0.322
RNC_ECOLI_Weeks_2023,0.269,0.376,0.363,0.629,0.579,0.586,0.672,0.59,0.896,0.233,0.292
RPC1_BP434_Tsuboyama_2023_1R69,0.122,0.142,0.13,0.471,0.363,0.445,0.393,0.491,0.682,0.124,0.152
RPC1_LAMBD_Li_2019_high-expression,0.409,0.494,0.448,0.64,0.607,0.601,0.633,0.6,0.907,0.51,0.551
RPC1_LAMBD_Li_2019_low-expression,0.48,0.591,0.484,0.653,0.684,0.658,0.658,0.632,0.847,0.523,0.614
RS15_GEOSE_Tsuboyama_2023_1A32,0.133,0.126,0.137,0.661,0.666,0.619,0.619,0.66,0.73,0.111,0.133
S22A1_HUMAN_Yee_2023_abundance,0.261,0.632,0.645,0.673,0.633,0.617,0.58,0.592,0.958,0.311,0.417
S22A1_HUMAN_Yee_2023_activity,0.294,0.627,0.674,0.66,0.666,0.652,0.6,0.607,0.955,0.342,0.45
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.151,0.195,0.192,0.541,0.467,0.455,0.506,0.496,0.612,0.175,0.217
SBI_STAAM_Tsuboyama_2023_2JVG,0.216,0.291,0.229,0.661,0.729,0.571,0.685,0.649,0.69,0.221,0.316
SC6A4_HUMAN_Young_2021,0.502,0.731,0.71,0.814,0.733,0.693,0.763,0.731,0.971,0.57,0.608
SCIN_STAAR_Tsuboyama_2023_2QFF,0.151,0.211,0.186,0.768,0.745,0.766,0.815,0.771,0.775,0.147,0.249
SCN5A_HUMAN_Glazer_2019,0.991,1.211,1.282,1.035,1.011,1.049,1.07,1.046,1.021,1.508,1.596
SDA_BACSU_Tsuboyama_2023_1PV0,0.108,0.099,0.111,0.497,0.527,0.485,0.477,0.469,0.679,0.102,0.11
SERC_HUMAN_Xie_2023,0.322,0.493,0.542,0.625,0.598,0.615,0.575,0.614,0.96,0.339,0.447
SHOC2_HUMAN_Kwon_2022,0.558,0.8,0.838,0.843,0.817,0.819,0.843,0.829,0.968,0.602,0.723
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.179,0.18,0.161,0.703,0.625,0.636,0.712,0.676,0.761,0.161,0.201
SPA_STAAU_Tsuboyama_2023_1LP1,0.18,0.24,0.17,0.672,0.755,0.586,0.701,0.661,0.662,0.163,0.214
SPG1_STRSG_Olson_2014,0.184,0.212,0.867,0.694,0.648,0.636,0.631,0.621,0.632,0.567,0.215
SPG1_STRSG_Wu_2016,0.714,0.366,0.503,0.724,0.636,0.696,0.68,0.728,0.736,0.451,0.506
SPG2_STRSG_Tsuboyama_2023_5UBS,0.119,0.144,0.149,0.746,0.768,0.782,0.795,0.722,0.734,0.127,0.191
SPIKE_SARS2_Starr_2020_binding,0.207,0.791,0.532,0.902,0.92,0.767,0.841,0.826,0.862,0.335,0.277
SPIKE_SARS2_Starr_2020_expression,0.16,0.793,0.699,0.818,0.907,0.596,0.776,0.697,0.848,0.178,0.272
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.152,0.215,0.194,0.583,0.541,0.596,0.59,0.563,0.73,0.172,0.221
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.143,0.179,0.144,0.433,0.567,0.459,0.476,0.434,0.604,0.132,0.18
SR43C_ARATH_Tsuboyama_2023_2N88,0.102,0.156,0.141,0.442,0.472,0.485,0.465,0.44,0.634,0.139,0.162
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.119,0.162,0.147,0.501,0.529,0.434,0.495,0.454,0.702,0.127,0.163
SRC_HUMAN_Ahler_2019,0.351,0.615,0.882,0.795,0.714,0.847,0.754,0.759,0.89,0.403,0.43
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.504,0.733,0.811,0.869,0.844,0.85,0.865,0.864,0.913,0.538,0.558
SRC_HUMAN_Nguyen_2022,0.512,0.737,0.801,0.841,0.798,0.81,0.833,0.834,0.91,0.579,0.599
SUMO1_HUMAN_Weile_2017,0.546,0.596,0.596,0.733,0.714,0.696,0.757,0.715,0.854,0.74,0.695
SYUA_HUMAN_Newberry_2020,0.221,0.194,0.211,0.877,0.756,0.879,0.821,0.828,0.917,0.177,0.21
TADBP_HUMAN_Bolognesi_2019,0.299,0.265,0.616,0.963,0.976,0.965,0.948,0.952,0.939,0.303,0.266
TAT_HV1BR_Fernandes_2016,0.619,0.602,0.594,0.824,0.779,0.799,0.833,0.821,0.838,0.635,0.64
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.09,0.126,0.124,0.434,0.344,0.336,0.357,0.37,0.576,0.099,0.15
THO1_YEAST_Tsuboyama_2023_2WQG,0.163,0.234,0.201,0.644,0.629,0.631,0.66,0.641,0.664,0.179,0.285
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.099,0.12,0.12,0.461,0.417,0.507,0.44,0.428,0.672,0.106,0.144
TPK1_HUMAN_Weile_2017,0.842,0.897,0.856,0.945,0.925,0.922,0.926,0.925,0.982,1.024,0.998
TPMT_HUMAN_Matreyek_2018,0.501,0.563,0.636,0.728,0.702,0.747,0.758,0.729,0.926,0.549,0.558
TPOR_HUMAN_Bridgford_2020,0.465,0.502,0.539,0.724,0.673,0.684,0.693,0.692,0.818,0.5,0.433
TRPC_SACS2_Chan_2017,0.31,0.393,0.361,0.525,0.529,0.461,0.556,0.519,0.807,0.287,0.383
TRPC_THEMA_Chan_2017,0.363,0.501,0.473,0.661,0.629,0.629,0.682,0.655,0.828,0.339,0.454
UBC9_HUMAN_Weile_2017,0.522,0.586,0.562,0.716,0.765,0.724,0.763,0.711,0.884,0.59,0.606
